PartitionKey,RowKey,Category,Category@type,Comments,Comments@type,Guidance,Guidance@type,Question,Question@type,Response,Response@type
1022,1022,WORKLOAD INFORMATION,,,,Like cross accounts dependancies like S3 on another AWS account,,Any cross account dependancies for the kubernetes workload?,,,
1023,1023,NETWORK INFORMATION,,,,"Describe how network traffic is managed.
E.g. NGINX Ingress controller, Istio Service Mesh",,"How is network traffic managed within the cluster (e.g., Ingress controllers, Service Mesh)?",,,
1024,1024,NETWORK INFORMATION,,,,Specify the Ingress controller used.,,"What Ingress controller is in use (e.g., NGINX, ALB Ingress Controller)?",,,
1025,1025,NETWORK INFORMATION,,,,Identify if any network policies are configured.,,Are there any network policies in place to control traffic between pods?,,,
1026,1026,Security,,,,Any IAM roles used for authentication with other AWS services from pods,,Configured Pods to use any Kubernetes service account for AWS services? Details,,,
1027,1027,Security,,,,"Describe how secrets are managed securely.
Eg. AWS Secrets Manager for sensitive information",,"What measures are taken for securing secrets (e.g., Kubernetes Secrets, AWS Secrets Manager)?",,,
1028,1028,CI/CD,,,,DevOps teams / EHDS team,,Team/people involved in developing and deploying the applications,,,
1029,1029,CI/CD,,,,Identify the CI/CD tools in use.,,"What CI/CD tools are being used for deployment (e.g., ArgoCD, Jenkins, GitLab CI, AWS CodePipeline)?",,,
1030,1030,CI/CD,,,,Specify the deployment strategies used.,,"Describe the deployment strategy (e.g., blue-green, canary, rolling updates):",,,
1031,1031,CI/CD,,,,Describe any automated testing or QA processes.,,Are there any automated testing or quality assurance processes integrated with deployments?,,,
1032,1032,Monitoring and Logging,,,,List the monitoring tools in use.,,"What tools are used for monitoring the cluster and workloads (e.g., Prometheus, Grafana, CloudWatch)?",,,
1033,1033,Monitoring and Logging,,,,Describe the logging strategy.,,"How is logging managed (e.g., Fluentd, Elasticsearch, CloudWatch Logs)?",,,
1034,1034,Monitoring and Logging,,,,"Identify if there are alerting systems configured.
E.g. Alertmanager, CloudWatch Alarms",,Are there any alerting mechanisms in place?,,,
1035,1035,Monitoring and Logging,,,,Describe the performance monitoring setup.,,How is cluster and application performance monitored?,,,
1036,1036,Autoscaling and Performance,,,,Specify if HPAs are used.,,Are there any Horizontal Pod Autoscalers (HPAs) in place?,,,
1037,1037,Autoscaling and Performance,,,,Identify if cluster autoscaling is configured.,,"Is the cluster autoscaling enabled (e.g., Cluster Autoscaler, Karpenter)?",,,
1038,1038,Autoscaling and Performance,,,,List the metrics used for autoscaling.,,What metrics are used for scaling decisions?,,,
1039,1039,Autoscaling and Performance,,,,Describe any performance-related concerns.,,Are there any known performance bottlenecks or issues?,,,
1040,1040,Health Checks,,,,Describe the readiness probes in use.,,Are readiness probes configured for the workloads?,,,
1041,1041,Health Checks,,,,Describe the liveness probes in use.,,Are liveness probes configured for the workloads?,,,
1042,1042,Health Checks,,,,Describe the startup probes in use.,,Are there startup probes configured for the workloads?,,,
1043,1043,Backup and DR,,,,Describe the backup strategy.,,What is the current strategy for cluster and application backup?,,,
1044,1044,Backup and DR,,,,Identify if there are DR plans and describe them.,,Are there any disaster recovery plans in place?,,,
1045,1045,Backup and DR,,,,Specify the backup frequency and testing procedures.,,How frequently are backups performed and tested?,,,
1046,1046,Backup and DR,,,,"List the tools used for backup and restore.
E.g. Velero, AWS Backup",,What tools are used for backup and restore operations?,,,
