PartitionKey,RowKey,Timestamp,ETag,Category,Guidance,Question
1001,36,,"W/""datetime'2025-09-29T07%3A41%3A07.6743204Z'""",Front Tier Details,"Please provide information, if the Web Tier has to be scaled out or scaled in as per the workload",Scale out requirements if any
1001,37,,"W/""datetime'2025-09-29T07%3A41%3A19.7534166Z'""",Front Tier Details,List the application URL's Internal URL's: External URL's:,Is this External Application or Internal application? Please record External and Internal URL's in Comments. Share if any additonal DNS entries required for the app.
1001,38,,"W/""datetime'2025-09-29T08%3A40%3A32.3480573Z'""",DB Tier Details,MS SQL 2012/Oracle 11g/MongoDB,Database Product environment wise if not same)
1001,39,,"W/""datetime'2025-09-29T08%3A40%3A48.6937192Z'""",DB Tier Details,"YES/NO, Examples: For Oracle: RAC, Golden Gate, Data Guard. For SQL: SQL Clustering, SQL Always ON, SQL Log Shipping",Is high availability (HA) configured? Please mention the approach
1001,4,,"W/""datetime'2025-09-29T07%3A26%3A13.202418Z'""", Application General Information,Provide the name(s) and email address(es) of the current Application Business Owner(s),Application Business Owner
1001,41,,"W/""datetime'2025-09-29T08%3A41%3A03.2763869Z'""",DB Tier Details,"Please provide the information about the load balancer, if used",High availability / Load Balancers information Share if Load Balancer IP Address if available( DB connection string Info)
1001,42,,"W/""datetime'2025-09-29T08%3A41%3A16.0221032Z'""",DB Tier Details,"Database products comes with additional components. For Ex: SQL has SSIS, SSRS, SSAS components. Please provide if any such components are used along with the database.",Any other services of the database product is used in the solution
1001,43,,"W/""datetime'2025-09-29T08%3A41%3A28.3640509Z'""",DB Tier Details,Databases can be authenticated using 'username - password' Or using a service principal (AD Authentication),How the database is being authenticated?
1001,44,,"W/""datetime'2025-09-29T08%3A41%3A42.3380661Z'""",DB Tier Details,Please provide the approximate database size in GB for the production.,"What is the current approx database size( in GB)? Environment wise example : dev- 100 GB, test-250GB"
1001,45,,"W/""datetime'2025-09-29T08%3A41%3A54.3751883Z'""",DB Tier Details,Please provide if there is any data import or export scheduled in the database servers. Elaborate on where it is exported to or imported from (SFTP Or from a file share etc),Is there a scheduled process in database tier for exporting / importing data dumps? (SQL Jobs)
1001,46,,"W/""datetime'2025-09-15T06%3A57%3A50.0166197Z'""",,"1 – Poor: Many gaps, inaccurate information. 2 – Fair: Some coverage but several gaps/errors. 3 – Good: Covers most areas with minor issues. 4 – Very Good: Mostly comprehensive and correct. 5 – Excellent: Fully comprehensive and accurate, no issues.",How would you rate the completeness and accuracy of this documentation on a scale of 1–5? 
1001,47,,"W/""datetime'2025-09-15T06%3A58%3A04.3534553Z'""",,"Technical documentation will help us understand the application design/implementation, and in turn speed up discovery during the application assessment.","Do you have technical documentation that describes your application design and implementation? E.g. Solution Architecture Document, Security Architecture Design"
1001,48,,"W/""datetime'2025-09-15T06%3A58%3A30.0688126Z'""",,Please provide the link to the relevant test cases.,Do you have any acceptance tests that can be considered for the migration acceptance tests ? 
1001,49,,"W/""datetime'2025-09-15T06%3A59%3A18.5382112Z'""",,Request to share Installation and configuration documentation if available,for Legcy OS in source :Please share Installation and configuration documentation if available
1001,5,,"W/""datetime'2025-09-29T07%3A32%3A51.7797049Z'""",Application Environment Information,"For example:  Inhouse, LOB/COTS, Middle tier information",What is the Application type? Who is the Application vendor?
1001,51,,"W/""datetime'2025-09-15T06%3A59%3A34.815942Z'""",,Specify location of install files ,for Legcy OS in source : Please share Application Binaries location
1001,52,,"W/""datetime'2025-09-29T08%3A42%3A39.7432643Z'""",Design & Operations,"Mention if the app has a services layer (e.g., REST/SOAP APIs, WCF). If yes, briefly describe its architecture, deployment model, and key technologies (protocols, languages).","Does the application have a distinct Services layer (e.g., REST/SOAP APIs, WCF, Java Servlets)? If yes, please describe its architecture, deployment model, and key technologies (including protocols and languages)."
1001,53,,"W/""datetime'2025-09-29T08%3A43%3A43.9025977Z'""",Design & Operations,"List the integration patterns and messaging protocols used (e.g., HTTP/REST, SOAP, JMS, batch jobs, file shares, EDI). Include any key dependencies.","What integration patterns and messaging protocols are used (e.g., HTTP/REST, SOAP, JMS, batch jobs, file share dependencies, EDI)?"
1001,54,,"W/""datetime'2025-09-29T08%3A43%3A56.7312658Z'""",Design & Operations,Consider if your team uses a build process to continuously integrate your changes to your release environments or use automated build and release processes.,Is your team leveraging continuous integration (CI)?
1001,55,,"W/""datetime'2025-09-29T08%3A44%3A13.7615328Z'""",Design & Operations,Understanding the development and deployment processes help us determine if there change required to optimize development and deployment processes for the cloud.  The questions in this section should draw out the details of the current processes.,Is your team leveraging continuous delivery (CD)?
1001,56,,"W/""datetime'2025-09-29T08%3A44%3A24.7702413Z'""",Design & Operations,Understanding the development and deployment processes help us determine if there change required to optimize development and deployment processes for the cloud.  The questions in this section should draw out the details of the current processes.,Is your team leveraging infrastructure automation for provisioning infrastructure?
1001,57,,"W/""datetime'2025-09-29T08%3A44%3A34.146883Z'""",Design & Operations,"Specify the CI/CD deployment approach (e.g., full deployment, phased rollout, delta/patch updates). Include any tools or pipelines used if applicable.","What is the overall CI/ CD deployment strategy (e.g., full deployment, phased migration, delta changes)?"
1001,58,,"W/""datetime'2025-09-29T08%3A44%3A45.9081604Z'""",Design & Operations,"Mention the source control and versioning tools used (e.g., Git, SVN, TFS) and any branching or versioning practices followed.",Which source control and versioning systems are in use?
1001,59,,"W/""datetime'2025-09-29T08%3A44%3A56.0213802Z'""",Design & Operations,"Highlight any release management constraints (e.g., downtime windows, approvals) and list any specific debugging or support tools needed in production.",Are there any release management constraints or specific debugging tools required for production support?
1001,6,,"W/""datetime'2025-09-29T07%3A33%3A22.1183653Z'""",Application Environment Information,"For example:  Development, Testing,  Pre-Production, Production and",What environments does the application have?
1001,61,,"W/""datetime'2025-09-29T08%3A45%3A06.8771766Z'""",Design & Operations,"Mention monitoring tools and methods used (e.g., APM tools like AppDynamics, logging solutions, error reporting systems) to track application health and performance.","How is the application instrumented for monitoring (e.g., APM tools, logging solutions, error reporting methods)?"
1001,62,,"W/""datetime'2025-09-29T08%3A45%3A17.1483062Z'""",Design & Operations,"Confirm if there’s a documented support model (e.g., RACI matrix for roles/responsibilities). Also, mention any specialized tools needed for migration.",Is there a documented operational support model (including a RACI for roles) and are any specialized migration tools required?
1001,63,,"W/""datetime'2025-09-29T07%3A29%3A26.3244164Z'""",Application General Information,"Provide names and email IDs of the application’s primary contacts (e.g., Support team, System Integrator). Include multiple contacts if applicable.","Who are the Application Contact Details? (Support team/ System Integrator, email IDs)"
1001,64,,"W/""datetime'2025-09-29T07%3A30%3A03.6201003Z'""",Application General Information,Provide the name(s) and email address(es) of the current Application SME(s),Application Technical Contacts
1001,65,,"W/""datetime'2025-09-29T07%3A30%3A29.6503194Z'""",Application General Information,Application support team details Application-  Name & email address database- Name & email address Infrastructure- Name & email address other( If any)- Name & email address,Application support team details Application-  Database- Infrastructure- other (If any)
1001,66,,"W/""datetime'2025-09-29T07%3A30%3A52.9492062Z'""",Application General Information,On-premise/ Azure cost center details,Infrastructure cost center
1001,67,,"W/""datetime'2025-09-29T07%3A31%3A19.0014516Z'""",Application General Information,"Provide the Business Unit or function that owns or primary uses the application Example : Finance , IT, sales",Application Business Unit 
1001,68,,"W/""datetime'2025-09-29T07%3A31%3A40.9112213Z'""",Application General Information,Provide the name(s) and email address(es) of the current Application Budget Owner(s),Budget Owner
1001,69,,"W/""datetime'2025-09-29T07%3A32%3A09.6798751Z'""",Application General Information,Provide the name(s) and email address(es) of the Target Application Subscription Owner(s),Subscription Owner
1001,7,,"W/""datetime'2025-09-29T08%3A46%3A24.2729435Z'""",Application Environment Information,"Example: Test- silver, Prod-Gold","What is the Primary Service Category of the Application (e.g, Bronze, Silver, Gold, Platinum) for each Environment ?"
1001,71,,"W/""datetime'2025-09-29T08%3A47%3A42.0633321Z'""","Privacy, Security and Customer Impact",This will help drive which data centres should be targeted.  It may also uncover latency issues for users outside of the region.,"Are there compliance restrictions on which country the application or data resides and being accessed from?  If so, please elaborate on those compliance restrictions."
1001,72,,"W/""datetime'2025-09-29T08%3A48%3A08.077427Z'""","Privacy, Security and Customer Impact",We need a listing of the compliance requirements to ensure that we use the correct components. Responses: - None - TSA - SOM - GDPR - PCI - SOX/FSA - Other Data Protection laws,"What compliance requirements apply to this application (e.g. TSA, GDPR, SOX, PCI, etc.)?"
1001,73,,"W/""datetime'2025-09-29T08%3A48%3A32.3525209Z'""","Privacy, Security and Customer Impact","This is additional outside regulatory requirements that we may need to consider in the migration, ensuring the appropriate compliance agreements are in place",	Do you have any regional/local jurisdictional rules that may apply to the application?
1001,74,,"W/""datetime'2025-09-29T08%3A48%3A58.3816096Z'""","Privacy, Security and Customer Impact",The purpose of this question is to learn more about the regulated products/services that may be supported by the application,have any risks and issues been identified during the privacy and security assessment?
1001,75,,"W/""datetime'2025-09-29T08%3A49%3A21.7975081Z'""","Privacy, Security and Customer Impact",The primary purpose of this question is to understand whether there's any customer impact and the risk. Response Options: - Internal - External - Both (Internal and External),Select the type of users supported by your application.
1001,76,,"W/""datetime'2025-09-29T08%3A49%3A44.9291968Z'""","Privacy, Security and Customer Impact","This is to help identify what the customer Impact would be when migrating the application , and what the potential revenue impact would be. Response options: - Organization customers only ( Internal) - External Customers - Both (Oraganizational  & External) - Organization customers only ( Internal) along with revenue impact - External Customers along with revenue impact - Both (Oraganizational  & External) along with revenue impact",what would be the customer impact if the application goes down during migration?
1001,77,,"W/""datetime'2025-09-29T08%3A50%3A16.5899831Z'""","Privacy, Security and Customer Impact","Article 30 requirements (description of the categories of data subjects and personal data).  Response Options: - Account Data (e.g. Username, status, job title) - Authentication data (e.g. hashed/encrypted login credentials, timestamps) - Basic company data (e.g. company name, company registration address) - Basic personal data (e.g. name, email) - Biometric identifiers and similar physical identifiers (e.g. fingerprint data, voice recordings) - Communications content from networks (e.g. transcripts/records of calls, activity with services) - Content data (e.g. browsing logs, email, sms/mms) - Cookies (e.g. Session cookies for internal systems) - Customer care data (internal/external) (e.g. chat logs, email transcripts) - Customer Relationship Management data (e.g. call history, tariff info, service usage data) - Data about the Device and SIM (e.g. sim card number, IMEI, IP address, log data) - Data from IT application/platform (e.g. user activity logs) - Data from the Device (e.g. data collected by apps, user contact lists, logs) - Employment Details (e.g. data available on SF) - Financial data (e.g. account details, credit card details) - Health and Safety Records (e.g. self assessments, work related injury records) - HR Administration and Support (e.g. general correspondence, basic employment information) - Incidents and investigations (e.g. Incident and investigation files) - Law Enforcement Requests (e.g. records of law enforcement requests) - Location data (e.g. Geo location) - Performance and Talent Information (e.g. mid/end year ratings and reviews) - Permissions - Profiling data (e.g. anonymous customer reference, pseudonymous profiles) - Public identification data (e.g. Driving licence, passport) - Recruitment Data (e.g. CV, Application form, reference) - Salary and payment details  - Security data (e.g. event logs) - Special categories of personal data (e.g. health) - Supplier data (e.g. contract, supplier contact data) - Supplier Employee' data (e.g. name, job title) - Traffic Data (e.g. call duration, call logs, IP add) - Visitor Details (e.g. visitor logs - name, time of visit)",What personal data categories are being stored or processed?
1001,78,,"W/""datetime'2025-09-29T08%3A50%3A49.2432025Z'""","Privacy, Security and Customer Impact","Organization Data Classification (C1, C2, C3 or C4) Response Options: - C1 Public - C2 General - C3 Confidential - C4 Secret - Non-Organization","What types of data does your application handle? Environment wise Example: Test-C2, Prod-C3"
1001,79,,"W/""datetime'2025-09-29T08%3A51%3A18.1605746Z'""","Privacy, Security and Customer Impact",Include and explanation the following : - why each field is clasified as C4 -what type of data is used that is clasified as C4,Please provide all data fields used for C4 data clasification
1001,8,,"W/""datetime'2025-09-29T07%3A33%3A53.1766156Z'""",Application Environment Information,"Please provide information about application licensing or any licensing constraints for moving to the Cloud (e.g. third-party licenses, per CPU basis, MAC address, IP address, or host name). Also share Point of contact from app team to interact with vendor.",What is the licensing status of the application for each emvironment ?
1001,80,,"W/""datetime'2025-09-29T08%3A51%3A42.9163417Z'""","Privacy, Security and Customer Impact",This supports triage between VF entities. Response Options: - UK - Ireland - Italy - Romania - Greece - Germany - Albania - Portugal - Czech - Other,Which local market will this application serve
1001,81,,"W/""datetime'2025-09-29T08%3A52%3A10.7273565Z'""","Privacy, Security and Customer Impact",Data residency and restrictions on geography Data restrictions to access the data (like geography) Restrictions around the support model that can break or impact the application,"Are there any restrictions on where the application data can be stored in, or accessed from?"
1001,82,,"W/""datetime'2025-09-29T08%3A52%3A41.2937862Z'""","Privacy, Security and Customer Impact",Explanation on the Operating Model restrictions,"If there is any operating model restrictions selected above, Please Share additional details/ explanation"
1001,83,,"W/""datetime'2025-09-29T08%3A53%3A04.6863434Z'""","Privacy, Security and Customer Impact",Please select the appropriate volumes Over 10k is at risk Response Options: - Over 100m - 10m - 100m - 1m - 10m - 10000 - 100000 - 1000 - 10000 - 100- 1000 - under 100,What are the Application Personal information Volumes being stored?
1001,84,,"W/""datetime'2025-09-29T08%3A53%3A24.7238289Z'""","Privacy, Security and Customer Impact",German HR or contract Data (Excluding System and Authentication Data),German Specific: Does the application contain German Employee data?
1001,85,,"W/""datetime'2025-09-29T08%3A53%3A46.0595695Z'""","Privacy, Security and Customer Impact","As the Application Owner, you may be aware of specific business risks associated with migrating this application. This question allows you to provide a high-level summary of the potential impacts categorised by risk types, including reputational, regulatory, and financial risks. Please provide a brief summary of the high-level impacts in each risk type you identify. This information will help us prioritise and address the risks effectively during the migration process.",Explain the risk to the business if the migration is not delivered successfully.
1001,86,,"W/""datetime'2025-09-29T08%3A54%3A16.6569753Z'""","Privacy, Security and Customer Impact",This question is to identify if there are any security risks to consider.,Are there external customers/business partners/vendors/System Integrators that require access? Q
1001,87,,"W/""datetime'2025-09-29T08%3A54%3A41.6565899Z'""","Privacy, Security and Customer Impact","Supports in the identification of existing assessments, which may require simple updates rather than the need to conduct full assessments. (VSR and OneTrust) Example : Known/Unknown, If Known Share the ID/ Link","Is there a privacy and security assessment in place for the application, if so provide assessment ID. Please share details if any Risks Example : Known/Unknown, If Known Share the ID/ Link"
1001,88,,"W/""datetime'2025-09-29T08%3A55%3A14.7225668Z'""","Privacy, Security and Customer Impact","- Where OFFICIAL information is particularly sensitive and loss or disclosure would have even more damaging consequences, the classification is caveated with “SENSITIVE” i.e. OFFICIAL-SENSITIVE. This information has additional handling requirements to reinforce the principle of ‘need to know’ but is not a classification in its own right. - There is no formal Government definition of OFFICIAL-SENSITIVE information; some customers provide examples, which they, individually, consider to be OFFICIAL-SENSITIVE.  For example - Customer IP addresses, MAC addresses, configuration and design information for boundary and perimeter security including firewall, switch and router configurations - Low level design documentation with unredacted technical infrastructure and network topology diagrams - System fault and change information which includes any information which could assist an attacker, such as security or vulnerability information - Risk registers, risk assessments and remediation plans regarding the security of customer environments or solutions - Contractual negotiation information - There is no Government mandated requirement for data marked as OFFICIAL or data with a handling caveat OFFICIAL-SENSITIVE  to be retained in the UK or managed by people vetted above BPSS. Any such residency or vetting requirement will be a bespoke customer requirement. SOM Governance do not work on any activities which involve assets marked as SECRET or above, these activities are managed within VBSE.","UK SOM Specific: - Does the application contain any official-sensitive information, including: - Customer IP addresses, MAC addresses, configuration and design information for boundary and perimeter security including firewall, switch and router configurations (and does this relation to a standard service or a customer specific service). - Low level design documentation with unredacted technical infrastructure and network topology diagrams (and does this relate to a standard service or a customer specific service) - System fault and change information which includes any information which could assist an attacker, such as security or vulnerability information (and does this relate to a standard service or a customer specific service) - Risk registers, risk assessments and remediation plans regarding the security of customer environments or solutions (and does this relate to a standard service or a customer specific service) - Contract documents"
1001,9,,"W/""datetime'2025-09-29T07%3A34%3A28.4144767Z'""",Application Environment Information,"Select all layers that are part of your application architecture. This may include Presentation Layer (UI / Front-End) Web Layer (Web Server) Application Layer (Business Logic) Service Layer (APIs, Services) Middle Tier (Middleware, Integration) Data Layer (Database, Storage) Batch/Job Processing Layer Messaging Layer (Queues, Event Hubs, Kafka) Other (please specify)",What layers does your application have? (Select all that apply)
